Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Feedback Comments,Sentiment
417,9,6,7,9,5,1,7,2,"Overall, the course was relevant and useful.",Positive
554,6,6,8,2,4,6,4,10,Sometimes explanations were confusing.,Negative
656,6,2,7,2,5,6,9,9,Great teaching style and very helpful!,Positive
19,10,4,6,3,9,10,9,3,Assignments were too difficult.,Negative
275,8,5,4,9,5,5,8,10,Sometimes explanations were confusing.,Negative
478,5,10,7,6,8,7,3,9,Support was excellent and motivating.,Positive
132,6,9,5,8,10,3,2,10,Assignments were too difficult.,Negative
515,8,3,5,10,3,4,9,4,The presentations were very clear.,Positive
44,8,9,5,3,6,9,4,9,Very satisfied with the teaching.,Positive
388,6,10,4,5,6,4,4,9,The presentations were very clear.,Positive
204,8,7,6,3,3,10,3,6,Sometimes explanations were confusing.,Negative
338,5,2,4,6,9,10,9,4,Support was excellent and motivating.,Positive
619,8,7,6,4,3,9,3,8,Could use more real-world examples.,Positive
205,8,4,4,2,1,7,9,7,Sometimes explanations were confusing.,Negative
39,7,3,7,10,6,4,8,2,Great teaching style and very helpful!,Positive
53,5,8,5,1,10,8,5,7,Concepts were explained in detail.,Neutral
58,9,3,7,1,2,3,10,7,Sometimes explanations were confusing.,Negative
157,9,6,8,2,8,4,4,3,Very satisfied with the teaching.,Positive
28,8,6,6,9,9,9,4,7,Very satisfied with the teaching.,Positive
833,8,6,7,7,7,9,10,9,Sometimes explanations were confusing.,Negative
252,8,9,4,6,10,2,7,5,Assignments were too difficult.,Negative
658,8,5,6,7,10,4,6,4,Concepts were explained in detail.,Neutral
179,6,3,7,6,2,6,5,2,Great teaching style and very helpful!,Positive
851,9,6,4,10,2,1,3,10,Sometimes explanations were confusing.,Negative
809,7,8,7,5,10,2,8,8,Assignments were too difficult.,Negative
330,7,7,5,7,9,10,2,2,Very satisfied with the teaching.,Positive
94,10,10,4,7,8,2,4,4,Very satisfied with the teaching.,Positive
826,10,5,7,2,8,7,10,5,Support was excellent and motivating.,Positive
227,9,3,6,4,7,4,4,7,Sometimes explanations were confusing.,Negative
1000,9,8,5,4,10,7,7,10,Concepts were explained in detail.,Neutral
114,10,9,7,1,8,4,4,2,"Too many assignments, need balance.",Positive
251,5,9,6,9,6,4,5,2,Concepts were explained in detail.,Neutral
613,5,6,6,3,9,4,2,9,Very satisfied with the teaching.,Positive
101,10,5,6,6,9,8,10,3,Very satisfied with the teaching.,Positive
871,7,8,7,10,10,7,2,2,The presentations were very clear.,Positive
551,6,3,5,7,3,1,9,10,Very satisfied with the teaching.,Positive
931,6,5,7,3,6,5,6,10,Great teaching style and very helpful!,Positive
49,8,7,8,8,1,1,8,3,"Overall, the course was relevant and useful.",Positive
512,5,10,7,9,9,9,6,9,Sometimes explanations were confusing.,Negative
261,9,9,7,7,4,10,5,9,Concepts were explained in detail.,Neutral
754,6,9,4,4,3,10,2,10,"Overall, the course was relevant and useful.",Positive
345,8,2,8,9,10,10,9,5,Assignments were too difficult.,Negative
970,10,9,5,7,6,7,4,7,"Too many assignments, need balance.",Positive
990,6,9,6,4,9,5,10,8,Great teaching style and very helpful!,Positive
911,6,4,4,10,9,4,7,2,Concepts were explained in detail.,Neutral
909,9,8,5,9,5,6,9,7,"Overall, the course was relevant and useful.",Positive
817,6,5,7,10,10,4,6,6,"Too many assignments, need balance.",Positive
733,10,10,5,1,4,1,3,4,The presentations were very clear.,Positive
626,7,9,5,4,9,4,3,1,Great teaching style and very helpful!,Positive
292,7,9,8,1,5,4,7,4,Great teaching style and very helpful!,Positive
82,5,10,8,4,4,10,5,5,The presentations were very clear.,Positive
355,10,8,5,6,5,10,1,8,Sometimes explanations were confusing.,Negative
948,9,5,4,7,9,3,5,7,The presentations were very clear.,Positive
341,9,4,4,4,7,5,5,8,Great teaching style and very helpful!,Positive
952,7,9,5,7,8,8,10,5,Great teaching style and very helpful!,Positive
711,7,3,4,6,3,7,6,4,"Overall, the course was relevant and useful.",Positive
635,7,3,8,6,7,4,10,5,Very satisfied with the teaching.,Positive
850,5,8,7,4,8,7,8,6,"Too many assignments, need balance.",Positive
716,6,3,7,9,2,3,3,6,The presentations were very clear.,Positive
627,10,2,4,1,6,5,9,5,"Too many assignments, need balance.",Positive
661,6,10,4,3,8,2,7,6,The presentations were very clear.,Positive
877,8,9,4,5,10,10,10,2,Assignments were too difficult.,Negative
177,8,2,6,2,8,1,9,9,Great teaching style and very helpful!,Positive
322,8,10,7,3,3,3,1,5,Very satisfied with the teaching.,Positive
914,9,2,4,2,4,2,2,9,"Overall, the course was relevant and useful.",Positive
486,10,9,5,1,4,10,6,9,Very satisfied with the teaching.,Positive
723,6,10,5,3,10,3,6,4,Very satisfied with the teaching.,Positive
105,9,10,5,1,3,1,1,2,Very satisfied with the teaching.,Positive
52,6,10,4,1,7,3,10,2,"Too many assignments, need balance.",Positive
436,9,9,4,10,1,10,10,2,The presentations were very clear.,Positive
829,6,9,5,3,2,2,10,9,Could use more real-world examples.,Positive
753,5,10,8,7,5,10,9,7,Assignments were too difficult.,Negative
130,7,9,5,9,3,2,5,4,Concepts were explained in detail.,Neutral
91,6,5,4,2,5,8,3,3,Very satisfied with the teaching.,Positive
590,10,3,4,4,9,9,6,2,Sometimes explanations were confusing.,Negative
965,10,3,4,5,10,3,7,3,"Too many assignments, need balance.",Positive
99,8,9,6,2,2,3,10,6,"Overall, the course was relevant and useful.",Positive
912,7,10,7,10,2,7,5,7,Concepts were explained in detail.,Neutral
395,9,6,8,2,7,9,8,10,Could use more real-world examples.,Positive
923,6,3,5,6,9,4,10,3,Sometimes explanations were confusing.,Negative
499,7,9,8,3,5,1,5,2,Could use more real-world examples.,Positive
115,5,5,7,1,3,8,1,10,Concepts were explained in detail.,Neutral
815,5,9,6,6,2,9,5,3,Very satisfied with the teaching.,Positive
570,10,10,6,8,9,2,8,10,Sometimes explanations were confusing.,Negative
825,9,7,8,1,3,2,9,3,Could use more real-world examples.,Positive
620,9,5,8,2,8,10,8,8,"Overall, the course was relevant and useful.",Positive
175,10,9,8,2,1,6,7,2,The presentations were very clear.,Positive
358,5,7,4,3,3,10,3,4,Great teaching style and very helpful!,Positive
191,7,4,5,2,5,10,4,7,The presentations were very clear.,Positive
492,6,5,8,10,3,8,3,2,Concepts were explained in detail.,Neutral
529,9,6,6,1,4,10,1,7,"Too many assignments, need balance.",Positive
389,5,5,8,6,2,3,5,7,Great teaching style and very helpful!,Positive
878,6,5,8,4,10,3,9,10,Assignments were too difficult.,Negative
368,7,9,8,3,2,7,4,1,"Overall, the course was relevant and useful.",Positive
122,7,5,5,3,9,6,9,2,Assignments were too difficult.,Negative
332,9,2,7,2,8,7,4,10,Sometimes explanations were confusing.,Negative
303,7,4,5,4,7,2,1,6,Great teaching style and very helpful!,Positive
336,8,10,4,5,6,7,2,3,Assignments were too difficult.,Negative
588,6,6,4,10,10,10,3,9,Assignments were too difficult.,Negative
609,10,9,4,4,1,5,9,10,Could use more real-world examples.,Positive
920,10,6,7,10,10,2,4,2,The presentations were very clear.,Positive
370,9,4,7,10,1,10,2,7,Could use more real-world examples.,Positive
405,10,2,5,5,5,1,4,6,Great teaching style and very helpful!,Positive
779,10,8,6,3,8,8,7,8,Great teaching style and very helpful!,Positive
962,10,6,4,5,1,7,1,10,Concepts were explained in detail.,Neutral
268,10,6,5,9,9,1,8,6,Could use more real-world examples.,Positive
625,10,7,6,7,9,6,3,3,Support was excellent and motivating.,Positive
217,8,9,8,3,8,5,5,5,The presentations were very clear.,Positive
479,10,10,4,6,5,9,2,3,Great teaching style and very helpful!,Positive
500,9,5,8,4,2,2,5,1,Concepts were explained in detail.,Neutral
409,8,9,7,3,10,4,6,1,Could use more real-world examples.,Positive
546,7,7,5,1,9,8,1,1,The presentations were very clear.,Positive
967,5,5,8,8,1,9,8,5,Could use more real-world examples.,Positive
343,8,4,7,1,10,8,2,6,Assignments were too difficult.,Negative
639,7,4,7,7,6,10,5,7,Concepts were explained in detail.,Neutral
402,6,8,6,9,4,8,5,7,The presentations were very clear.,Positive
617,5,7,5,4,7,1,10,6,Very satisfied with the teaching.,Positive
349,6,8,8,2,9,9,2,8,Sometimes explanations were confusing.,Negative
994,8,5,5,2,5,5,9,5,Sometimes explanations were confusing.,Negative
279,5,10,7,1,4,4,9,4,The presentations were very clear.,Positive
926,10,7,5,1,1,6,6,1,Could use more real-world examples.,Positive
816,10,8,5,9,2,7,9,3,Concepts were explained in detail.,Neutral
765,8,7,8,5,7,7,7,7,Sometimes explanations were confusing.,Negative
160,10,6,5,4,2,10,4,7,Concepts were explained in detail.,Neutral
606,8,3,8,1,6,4,8,9,Sometimes explanations were confusing.,Negative
602,5,3,6,2,8,10,3,1,Assignments were too difficult.,Negative
893,10,6,8,1,1,10,1,3,Could use more real-world examples.,Positive
810,9,6,7,3,5,9,10,5,Assignments were too difficult.,Negative
802,8,2,6,6,3,8,7,7,Sometimes explanations were confusing.,Negative
162,6,2,5,2,10,2,8,8,Very satisfied with the teaching.,Positive
449,5,7,8,9,3,2,7,10,Very satisfied with the teaching.,Positive
463,7,8,7,8,1,4,4,1,Assignments were too difficult.,Negative
41,5,3,5,9,3,1,8,8,Very satisfied with the teaching.,Positive
838,6,3,6,8,7,1,8,8,Sometimes explanations were confusing.,Negative
703,10,7,8,3,4,7,9,8,The presentations were very clear.,Positive
490,9,2,6,10,9,8,2,4,Assignments were too difficult.,Negative
906,7,7,8,4,5,2,4,5,"Too many assignments, need balance.",Positive
174,7,3,6,7,10,10,2,3,Could use more real-world examples.,Positive
4,5,8,5,7,10,7,3,1,Very satisfied with the teaching.,Positive
161,6,7,8,3,5,10,6,4,Very satisfied with the teaching.,Positive
31,5,4,5,9,9,2,4,1,Great teaching style and very helpful!,Positive
623,6,4,6,6,10,10,3,9,Support was excellent and motivating.,Positive
818,10,5,4,9,2,6,2,6,Assignments were too difficult.,Negative
60,5,6,5,3,1,7,5,3,"Overall, the course was relevant and useful.",Positive
384,6,2,7,9,4,4,2,8,Very satisfied with the teaching.,Positive
971,7,6,7,4,6,6,7,9,Could use more real-world examples.,Positive
427,7,3,7,2,9,8,8,7,"Too many assignments, need balance.",Positive
431,10,9,4,3,3,9,4,1,Very satisfied with the teaching.,Positive
408,6,5,4,7,1,8,6,7,"Too many assignments, need balance.",Positive
577,10,7,4,10,7,2,5,1,Sometimes explanations were confusing.,Negative
803,6,10,8,5,6,5,6,7,Sometimes explanations were confusing.,Negative
273,9,3,7,1,5,3,8,4,Support was excellent and motivating.,Positive
371,6,3,4,9,4,10,4,10,The presentations were very clear.,Positive
999,6,7,8,8,9,9,9,5,"Overall, the course was relevant and useful.",Positive
595,10,5,5,4,10,4,4,4,Great teaching style and very helpful!,Positive
63,8,8,7,4,4,4,8,2,Support was excellent and motivating.,Positive
899,5,4,7,7,2,6,1,1,Concepts were explained in detail.,Neutral
0,7,4,8,2,1,4,8,3,Great teaching style and very helpful!,Positive
796,7,9,6,2,7,7,6,8,Assignments were too difficult.,Negative
181,10,10,4,2,1,5,3,1,Could use more real-world examples.,Positive
290,6,7,6,4,2,8,9,7,Concepts were explained in detail.,Neutral
373,6,4,8,10,5,3,10,10,Concepts were explained in detail.,Neutral
285,6,10,5,7,3,3,5,1,Support was excellent and motivating.,Positive
882,6,3,4,1,7,5,4,2,The presentations were very clear.,Positive
776,8,3,7,6,3,7,6,7,Support was excellent and motivating.,Positive
935,10,9,7,2,8,2,1,2,Assignments were too difficult.,Negative
679,10,6,4,5,10,9,6,7,Very satisfied with the teaching.,Positive
102,7,4,6,3,5,7,5,5,Very satisfied with the teaching.,Positive
618,5,8,6,9,3,8,7,9,The presentations were very clear.,Positive
607,8,4,4,10,10,8,3,7,Assignments were too difficult.,Negative
743,9,7,7,10,1,5,5,10,The presentations were very clear.,Positive
682,8,5,8,9,2,10,3,4,"Too many assignments, need balance.",Positive
16,5,3,6,6,5,8,8,2,Very satisfied with the teaching.,Positive
969,8,6,8,10,2,1,3,2,Concepts were explained in detail.,Neutral
46,8,4,4,9,5,7,4,8,"Overall, the course was relevant and useful.",Positive
706,6,8,7,9,8,6,4,1,Could use more real-world examples.,Positive
993,9,9,4,1,5,2,9,9,Assignments were too difficult.,Negative
508,10,6,5,8,8,5,7,10,Great teaching style and very helpful!,Positive
989,8,4,5,4,8,6,7,3,The presentations were very clear.,Positive
133,10,4,7,3,5,4,4,5,Could use more real-world examples.,Positive
15,8,9,8,3,6,10,2,3,Great teaching style and very helpful!,Positive
78,10,9,6,8,10,7,7,8,Could use more real-world examples.,Positive
433,6,6,8,4,8,9,4,1,"Overall, the course was relevant and useful.",Positive
784,7,7,4,3,7,8,6,10,Great teaching style and very helpful!,Positive
983,5,2,4,1,9,4,3,2,Support was excellent and motivating.,Positive
197,9,3,5,9,8,2,4,10,Sometimes explanations were confusing.,Negative
483,8,2,6,2,10,2,2,5,Support was excellent and motivating.,Positive
376,5,5,5,8,8,4,6,10,Very satisfied with the teaching.,Positive
915,10,7,4,6,9,4,9,5,Sometimes explanations were confusing.,Negative
210,6,5,7,9,5,1,2,4,Support was excellent and motivating.,Positive
20,8,4,5,1,10,10,7,5,Sometimes explanations were confusing.,Negative
425,5,9,8,1,10,8,10,10,Sometimes explanations were confusing.,Negative
668,6,3,6,1,2,10,9,3,Concepts were explained in detail.,Neutral
54,7,2,5,1,5,3,1,3,The presentations were very clear.,Positive
950,7,2,7,10,5,3,4,7,The presentations were very clear.,Positive
782,6,7,4,2,2,1,3,8,Concepts were explained in detail.,Neutral
108,5,5,7,5,10,7,3,9,Could use more real-world examples.,Positive
400,9,4,5,5,8,10,6,10,"Too many assignments, need balance.",Positive
685,10,9,7,3,1,6,6,4,Could use more real-world examples.,Positive
673,9,3,4,4,7,9,8,4,Great teaching style and very helpful!,Positive
198,6,7,7,7,3,5,4,3,Great teaching style and very helpful!,Positive
14,5,5,8,9,7,5,2,1,Sometimes explanations were confusing.,Negative
172,6,5,8,3,4,3,10,3,Support was excellent and motivating.,Positive
359,5,6,7,6,9,5,1,5,Support was excellent and motivating.,Positive
714,10,5,5,5,7,5,7,9,The presentations were very clear.,Positive
785,7,6,7,1,7,5,5,9,Assignments were too difficult.,Negative
865,8,4,6,2,7,5,2,7,Could use more real-world examples.,Positive
662,10,6,4,5,1,9,6,3,Very satisfied with the teaching.,Positive
513,9,10,7,7,9,2,10,1,"Overall, the course was relevant and useful.",Positive
722,7,10,5,5,4,9,6,7,Support was excellent and motivating.,Positive
8,6,7,6,10,6,9,9,10,"Overall, the course was relevant and useful.",Positive
873,10,10,4,5,9,10,2,5,Sometimes explanations were confusing.,Negative
684,10,3,7,4,4,5,1,10,"Overall, the course was relevant and useful.",Positive
73,7,2,5,6,3,1,1,4,Very satisfied with the teaching.,Positive
900,9,8,5,8,4,6,9,7,Concepts were explained in detail.,Neutral
933,6,9,4,8,7,10,3,5,Very satisfied with the teaching.,Positive
634,6,7,6,6,1,6,3,8,"Overall, the course was relevant and useful.",Positive
835,8,2,7,8,3,4,3,4,Very satisfied with the teaching.,Positive
422,9,8,4,4,8,3,4,10,"Too many assignments, need balance.",Positive
235,6,2,8,8,6,3,3,1,Sometimes explanations were confusing.,Negative
286,10,3,7,10,8,8,4,9,Could use more real-world examples.,Positive
129,7,3,4,9,1,4,4,9,Concepts were explained in detail.,Neutral
443,7,9,8,2,4,5,1,5,Support was excellent and motivating.,Positive
301,10,7,7,4,3,4,9,2,Great teaching style and very helpful!,Positive
532,10,2,4,2,2,6,10,9,Could use more real-world examples.,Positive
64,6,2,8,1,8,4,8,4,Great teaching style and very helpful!,Positive
860,10,8,4,3,7,1,4,5,Sometimes explanations were confusing.,Negative
559,8,4,4,6,5,5,1,7,Concepts were explained in detail.,Neutral
311,7,5,6,8,4,9,8,9,The presentations were very clear.,Positive
32,9,3,7,7,6,1,9,2,Support was excellent and motivating.,Positive
296,10,7,4,2,2,10,10,8,"Too many assignments, need balance.",Positive
419,10,2,5,8,5,3,3,10,The presentations were very clear.,Positive
83,10,6,6,1,8,1,3,9,Sometimes explanations were confusing.,Negative
594,7,2,7,6,7,2,3,6,Could use more real-world examples.,Positive
501,5,2,8,4,7,6,10,4,"Too many assignments, need balance.",Positive
411,8,4,4,4,8,4,3,1,Very satisfied with the teaching.,Positive
824,10,7,7,9,4,9,9,8,"Overall, the course was relevant and useful.",Positive
585,7,6,8,2,4,7,10,9,"Too many assignments, need balance.",Positive
848,9,9,6,1,9,2,8,6,Sometimes explanations were confusing.,Negative
299,10,8,5,5,4,3,1,9,Assignments were too difficult.,Negative
107,9,4,8,6,10,4,5,9,"Overall, the course was relevant and useful.",Positive
119,9,10,5,1,9,6,7,6,Great teaching style and very helpful!,Positive
335,5,3,4,2,8,4,7,6,Support was excellent and motivating.,Positive
557,5,5,8,2,4,10,6,1,Great teaching style and very helpful!,Positive
113,5,6,7,1,10,6,4,7,"Too many assignments, need balance.",Positive
281,5,6,6,3,4,1,1,1,Great teaching style and very helpful!,Positive
836,9,3,4,6,6,3,2,7,Sometimes explanations were confusing.,Negative
426,9,8,7,8,10,6,9,8,Very satisfied with the teaching.,Positive
42,8,2,4,6,6,7,3,1,Could use more real-world examples.,Positive
567,9,3,8,1,4,9,10,9,Support was excellent and motivating.,Positive
589,5,8,7,5,6,7,8,9,Great teaching style and very helpful!,Positive
187,5,5,6,2,6,1,8,5,Great teaching style and very helpful!,Positive
615,5,6,7,9,1,1,1,5,"Too many assignments, need balance.",Positive
556,9,9,5,5,1,3,6,10,Could use more real-world examples.,Positive
3,9,6,5,9,10,5,5,4,The presentations were very clear.,Positive
667,9,9,6,2,1,3,10,2,Great teaching style and very helpful!,Positive
234,7,2,4,5,1,8,7,2,Sometimes explanations were confusing.,Negative
96,6,6,5,10,8,10,5,2,Assignments were too difficult.,Negative
691,7,7,8,8,5,4,8,2,Support was excellent and motivating.,Positive
269,9,10,6,10,10,1,9,10,Great teaching style and very helpful!,Positive
566,8,10,6,10,7,6,6,1,Sometimes explanations were confusing.,Negative
985,5,5,4,8,7,6,7,3,Sometimes explanations were confusing.,Negative
437,7,2,6,7,5,8,1,8,Support was excellent and motivating.,Positive
200,8,4,8,6,8,4,7,1,The presentations were very clear.,Positive
291,10,3,7,8,2,10,3,3,Sometimes explanations were confusing.,Negative
612,8,9,8,7,1,2,8,4,Assignments were too difficult.,Negative
448,6,7,7,9,2,9,2,5,Sometimes explanations were confusing.,Negative
439,6,8,7,7,7,4,5,4,Sometimes explanations were confusing.,Negative
573,5,5,5,8,8,9,8,2,Sometimes explanations were confusing.,Negative
7,5,8,5,6,2,10,4,8,Very satisfied with the teaching.,Positive
725,5,10,8,4,3,5,1,6,Very satisfied with the teaching.,Positive
50,9,8,6,7,1,6,7,4,The presentations were very clear.,Positive
423,7,9,5,10,10,7,7,3,Great teaching style and very helpful!,Positive
140,7,10,6,8,6,10,9,6,Sometimes explanations were confusing.,Negative
135,8,9,7,3,6,10,2,9,Could use more real-world examples.,Positive
786,5,4,7,5,5,6,7,1,Great teaching style and very helpful!,Positive
601,8,9,4,5,4,3,1,10,The presentations were very clear.,Positive
493,9,4,4,9,4,3,6,7,Concepts were explained in detail.,Neutral
553,7,2,4,7,3,5,1,3,Great teaching style and very helpful!,Positive
27,7,3,5,5,5,1,8,6,Great teaching style and very helpful!,Positive
257,8,5,6,4,4,1,5,4,"Overall, the course was relevant and useful.",Positive
225,10,4,5,9,3,6,9,4,"Too many assignments, need balance.",Positive
788,6,5,6,3,10,4,3,8,"Overall, the course was relevant and useful.",Positive
37,8,9,5,3,4,3,5,2,Assignments were too difficult.,Negative
170,5,10,7,2,8,5,9,5,Very satisfied with the teaching.,Positive
528,9,2,5,2,6,5,1,6,Very satisfied with the teaching.,Positive
600,7,8,6,10,6,7,7,6,"Too many assignments, need balance.",Positive
655,7,8,5,4,1,6,6,8,Support was excellent and motivating.,Positive
74,8,8,6,1,2,5,2,6,Support was excellent and motivating.,Positive
505,9,6,8,5,8,4,7,6,The presentations were very clear.,Positive
377,5,5,7,3,9,6,1,4,"Too many assignments, need balance.",Positive
808,8,6,4,5,1,8,8,3,Great teaching style and very helpful!,Positive
366,9,9,8,2,1,10,5,2,Support was excellent and motivating.,Positive
238,8,7,5,10,10,9,7,10,Sometimes explanations were confusing.,Negative
255,9,10,7,10,3,2,7,8,Could use more real-world examples.,Positive
123,10,2,4,5,9,8,3,5,Great teaching style and very helpful!,Positive
663,6,2,8,2,5,7,5,7,Assignments were too difficult.,Negative
876,6,7,4,4,9,2,5,9,Sometimes explanations were confusing.,Negative
690,5,10,8,4,2,7,9,6,Sometimes explanations were confusing.,Negative
309,5,8,4,9,2,1,4,5,"Too many assignments, need balance.",Positive
693,7,9,8,1,5,10,3,7,The presentations were very clear.,Positive
226,7,6,8,8,8,5,8,8,Assignments were too difficult.,Negative
951,10,10,7,10,5,9,7,1,Support was excellent and motivating.,Positive
260,9,3,7,4,7,2,8,3,"Too many assignments, need balance.",Positive
243,9,8,8,8,4,10,8,9,Support was excellent and motivating.,Positive
222,5,4,4,2,7,9,5,3,"Too many assignments, need balance.",Positive
314,5,10,6,8,6,6,10,4,"Too many assignments, need balance.",Positive
229,7,6,8,2,2,10,8,8,"Too many assignments, need balance.",Positive
85,5,6,8,9,3,4,4,4,The presentations were very clear.,Positive
76,8,9,8,6,3,10,7,2,"Too many assignments, need balance.",Positive
887,6,9,5,8,9,7,6,2,Concepts were explained in detail.,Neutral
582,8,4,7,8,1,5,9,3,Could use more real-world examples.,Positive
674,8,5,6,8,7,10,2,7,Support was excellent and motivating.,Positive
986,7,2,6,2,4,7,10,7,Great teaching style and very helpful!,Positive
511,8,4,4,5,2,10,10,6,"Overall, the course was relevant and useful.",Positive
879,6,10,5,10,9,5,5,4,Assignments were too difficult.,Negative
401,8,10,7,2,8,10,8,9,Very satisfied with the teaching.,Positive
514,6,6,7,10,7,7,6,3,The presentations were very clear.,Positive
750,10,3,8,1,5,1,3,5,Great teaching style and very helpful!,Positive
156,7,4,7,9,10,8,5,8,Sometimes explanations were confusing.,Negative
775,5,6,7,2,5,4,1,4,Concepts were explained in detail.,Neutral
329,9,8,8,5,3,3,10,8,Very satisfied with the teaching.,Positive
467,8,10,5,7,7,1,3,6,"Overall, the course was relevant and useful.",Positive
178,7,7,4,7,1,2,1,2,Great teaching style and very helpful!,Positive
549,5,3,7,6,8,8,5,5,Very satisfied with the teaching.,Positive
453,8,4,4,4,2,8,1,4,Great teaching style and very helpful!,Positive
307,6,9,5,1,6,5,3,5,Concepts were explained in detail.,Neutral
472,6,8,7,7,9,9,2,3,"Overall, the course was relevant and useful.",Positive
392,7,7,4,9,7,10,8,4,Sometimes explanations were confusing.,Negative
65,6,4,4,6,3,10,8,3,"Too many assignments, need balance.",Positive
575,9,4,7,7,1,1,5,1,Support was excellent and motivating.,Positive
855,8,3,6,4,1,1,9,7,Sometimes explanations were confusing.,Negative
791,5,9,4,4,1,4,10,9,"Too many assignments, need balance.",Positive
391,5,3,7,6,7,6,9,4,The presentations were very clear.,Positive
973,6,3,4,6,4,6,6,9,Could use more real-world examples.,Positive
828,8,3,5,2,9,5,6,3,Assignments were too difficult.,Negative
247,6,9,6,5,2,2,3,7,Assignments were too difficult.,Negative
412,9,2,5,8,7,2,10,4,Support was excellent and motivating.,Positive
67,7,9,4,3,9,1,1,2,"Overall, the course was relevant and useful.",Positive
289,5,2,5,8,9,2,7,2,Concepts were explained in detail.,Neutral
399,10,6,4,8,6,5,10,4,"Overall, the course was relevant and useful.",Positive
138,8,5,8,8,10,4,2,6,Concepts were explained in detail.,Neutral
537,10,6,4,9,9,5,7,5,"Overall, the course was relevant and useful.",Positive
265,5,9,7,6,5,6,5,3,Could use more real-world examples.,Positive
724,5,2,6,1,7,3,3,1,The presentations were very clear.,Positive
653,5,6,5,6,6,3,9,2,The presentations were very clear.,Positive
318,6,8,5,10,6,7,10,8,"Too many assignments, need balance.",Positive
232,6,8,5,5,1,1,7,8,Very satisfied with the teaching.,Positive
21,9,7,5,3,6,6,1,6,The presentations were very clear.,Positive
998,9,7,5,1,2,2,1,10,The presentations were very clear.,Positive
694,9,8,8,10,7,7,7,2,Sometimes explanations were confusing.,Negative
927,6,2,6,2,10,3,6,4,Sometimes explanations were confusing.,Negative
348,7,9,5,6,5,5,8,6,"Too many assignments, need balance.",Positive
968,6,7,6,3,8,1,9,3,Very satisfied with the teaching.,Positive
992,10,6,4,3,8,6,10,3,Support was excellent and motivating.,Positive
764,9,3,7,6,3,8,10,2,Sometimes explanations were confusing.,Negative
587,5,4,8,2,2,2,4,10,Support was excellent and motivating.,Positive
944,10,8,6,8,8,7,9,6,Great teaching style and very helpful!,Positive
239,5,10,4,3,2,7,4,4,Sometimes explanations were confusing.,Negative
886,7,7,5,5,10,1,9,9,Could use more real-world examples.,Positive
23,9,7,4,2,1,2,9,3,Very satisfied with the teaching.,Positive
458,6,2,4,6,6,10,4,1,"Too many assignments, need balance.",Positive
822,6,2,7,1,5,4,1,10,Great teaching style and very helpful!,Positive
413,7,10,4,2,3,1,10,1,Very satisfied with the teaching.,Positive
563,7,4,8,8,7,3,3,10,Could use more real-world examples.,Positive
331,8,8,7,5,10,4,7,5,Very satisfied with the teaching.,Positive
434,7,7,7,6,1,8,9,6,Could use more real-world examples.,Positive
456,10,4,8,6,5,1,10,1,Could use more real-world examples.,Positive
430,9,6,4,9,8,6,4,3,Support was excellent and motivating.,Positive
896,6,8,7,5,4,4,5,5,"Overall, the course was relevant and useful.",Positive
451,9,3,6,10,7,8,9,10,Great teaching style and very helpful!,Positive
477,5,2,5,6,10,6,10,8,Very satisfied with the teaching.,Positive
9,7,5,4,5,1,3,5,6,Concepts were explained in detail.,Neutral
325,7,5,7,6,1,5,8,6,Great teaching style and very helpful!,Positive
812,9,5,4,4,2,4,2,6,"Overall, the course was relevant and useful.",Positive
727,7,2,6,4,2,10,9,5,Great teaching style and very helpful!,Positive
928,6,7,6,9,4,8,5,8,The presentations were very clear.,Positive
134,9,9,7,4,7,10,8,3,Concepts were explained in detail.,Neutral
819,6,7,8,8,9,10,2,2,"Overall, the course was relevant and useful.",Positive
230,7,2,8,2,6,1,9,2,Support was excellent and motivating.,Positive
520,9,3,5,6,7,10,10,3,Very satisfied with the teaching.,Positive
326,7,10,8,8,6,4,9,7,Assignments were too difficult.,Negative
142,6,8,4,10,8,5,8,6,"Overall, the course was relevant and useful.",Positive
491,5,4,8,6,1,3,4,4,"Too many assignments, need balance.",Positive
379,7,5,6,2,9,7,3,10,Very satisfied with the teaching.,Positive
465,5,2,8,8,6,8,2,4,"Overall, the course was relevant and useful.",Positive
756,6,7,7,3,2,6,9,7,The presentations were very clear.,Positive
347,6,8,7,3,5,1,2,8,Assignments were too difficult.,Negative
237,10,4,5,8,7,8,2,8,The presentations were very clear.,Positive
642,5,7,6,8,9,6,6,7,Assignments were too difficult.,Negative
506,9,7,4,1,5,7,5,1,"Too many assignments, need balance.",Positive
646,7,8,5,4,7,8,8,8,Very satisfied with the teaching.,Positive
382,10,10,7,5,2,3,6,3,Support was excellent and motivating.,Positive
256,6,7,4,5,9,8,6,5,The presentations were very clear.,Positive
327,8,8,5,10,2,1,10,5,The presentations were very clear.,Positive
624,7,3,7,10,2,1,8,8,Could use more real-world examples.,Positive
155,8,8,8,10,3,9,7,3,Assignments were too difficult.,Negative
578,8,10,7,4,5,8,7,6,Sometimes explanations were confusing.,Negative
640,10,9,4,10,2,4,3,1,Very satisfied with the teaching.,Positive
997,9,8,8,6,8,3,3,10,Assignments were too difficult.,Negative
242,7,9,5,4,5,9,1,4,Could use more real-world examples.,Positive
